ds,yhat,yhat_lower,yhat_upper
1889-04-01,-0.23128874811129418,-0.41288699688872765,-0.04800448193790681
1889-05-01,-0.22645462892457133,-0.4181509125669699,-0.03548660741393936
1889-06-01,-0.26537703659509243,-0.4400545104841845,-0.07022156003183924
1889-07-01,-0.24113788187551355,-0.4288418673236365,-0.047030704205239485
1889-08-01,-0.234703642507412,-0.43343090163961784,-0.05641807092301247
1889-09-01,-0.21228324410157537,-0.39182379974539444,-0.03557040760672273
1889-10-01,-0.2253908532685031,-0.4203106103387881,-0.04807100043322535
1889-11-01,-0.24534685073176174,-0.42250486403265297,-0.05634336336448475
1889-12-01,-0.21355251306627868,-0.39349216995816866,-0.033192719255450004
1890-01-01,-0.27095756658796427,-0.456632268468097,-0.08094200885349837
1890-02-01,-0.25105210199781614,-0.4532360144749172,-0.04742932742207043
1890-03-01,-0.21970350158537344,-0.40737211687333097,-0.039774213694027415
1890-04-01,-0.2336197792189198,-0.414227157785354,-0.05983058656486491
1890-05-01,-0.23122370337998768,-0.4250336789887807,-0.041612428530165904
1890-06-01,-0.2626285710297471,-0.4330919716344238,-0.0832971025437278
1890-07-01,-0.24047266649455026,-0.430070144350157,-0.050814315098367396
1890-08-01,-0.23539766828620193,-0.41853891211043304,-0.0536912767386596
1890-09-01,-0.21629141419257092,-0.4268809356355645,-0.0414628777626879
1890-10-01,-0.22572352135883322,-0.41297074775189313,-0.051333916770516255
1890-11-01,-0.2428188565686621,-0.4340981674365009,-0.05545832840186254
1890-12-01,-0.22299723347263398,-0.40957197423686453,-0.038302904949047686
1891-01-01,-0.266322051137716,-0.4463037225530645,-0.05921859470921592
1891-02-01,-0.24938551708685844,-0.4175557021875007,-0.0679695836641678
1891-03-01,-0.22252163029762215,-0.40524621136123834,-0.02127968839093448
1891-04-01,-0.2359782771336365,-0.42534350014511985,-0.05161305889249363
1891-05-01,-0.23590634957286463,-0.41677487251191614,-0.05430602940911299
1891-06-01,-0.2597782789157772,-0.4431189358945599,-0.07722511244107114
1891-07-01,-0.23985444922138674,-0.41747710986284325,-0.045242956047724985
1891-08-01,-0.23616842305424232,-0.4378038369492295,-0.057972324694685565
1891-09-01,-0.22031550075386813,-0.41234440202265366,-0.021441444219334166
1891-10-01,-0.22600346124294327,-0.41094347185755126,-0.028660146512494888
1891-11-01,-0.24036752578017956,-0.41212796087954046,-0.04949074193059667
1891-12-01,-0.23239759512212596,-0.42332143631832925,-0.03725262462546004
1892-01-01,-0.2615345611141332,-0.4611239666109972,-0.07377483643025907
1892-02-01,-0.24778077613594318,-0.426688814903996,-0.0542254499732225
1892-03-01,-0.21833910845981,-0.40951862100034514,-0.028371359849296465
1892-04-01,-0.23299524104058203,-0.4262271292377414,-0.05040877960880609
1892-05-01,-0.22560993538728724,-0.4084655499249726,-0.03654093388676358
1892-06-01,-0.272026714267182,-0.46633929816616587,-0.09050663758716618
1892-07-01,-0.245853555349407,-0.43163807914623675,-0.05477637725540299
1892-08-01,-0.23809276695419918,-0.4151967075358856,-0.059239262479890094
1892-09-01,-0.21230091573495405,-0.387267217451076,-0.03081266887642235
1892-10-01,-0.22901174828924087,-0.4098433783900793,-0.041970445833589984
1892-11-01,-0.2519562946272132,-0.43476112083036184,-0.055056831005797106
1892-12-01,-0.2080776940994861,-0.3821351789751427,-0.020024869450490385
1893-01-01,-0.27944294991982443,-0.46579067831066595,-0.0762393022236108
1893-02-01,-0.25678245097202224,-0.43528751758449447,-0.05558260581736304
1893-03-01,-0.2209798733778616,-0.40973589479624,-0.02666275504746163
1893-04-01,-0.23529553193652483,-0.4225556159248316,-0.0397783400244988
1893-05-01,-0.2304614127438535,-0.4111206039201754,-0.048462764753326816
1893-06-01,-0.2693838204083271,-0.4665811533435875,-0.07714958432089822
1893-07-01,-0.2451446656828517,-0.4379154938665825,-0.05189403824780927
1893-08-01,-0.23871042630862058,-0.40559296241885584,-0.046062157154080345
1893-09-01,-0.21629002789668986,-0.39584878077537333,-0.028534312290165037
1893-10-01,-0.2293976370577431,-0.4234647305152174,-0.041382060496182205
1893-11-01,-0.2493536345149078,-0.44436285187295754,-0.06478152042947602
1893-12-01,-0.2175592968434134,-0.3873983481370371,-0.029736481819882813
1894-01-01,-0.2749643503591503,-0.4611358649460249,-0.08690263844201872
1894-02-01,-0.25505888576280744,-0.436803104386169,-0.04884091707923096
1894-03-01,-0.22371028534487913,-0.4173931340468501,-0.034863182600717864
1894-04-01,-0.2376265629722955,-0.4058594493959618,-0.04645752319597938
1894-05-01,-0.23523048712753533,-0.4187086376546727,-0.05979167975112924
1894-06-01,-0.26663535477119016,-0.44960693330510365,-0.07512632703330246
1894-07-01,-0.24447945023010617,-0.4328501477856022,-0.05170378131088076
1894-08-01,-0.23940445201569432,-0.4294417098793763,-0.05485354948733405
1894-09-01,-0.22029819791587563,-0.4038629726858744,-0.02400120833716782
1894-10-01,-0.2297303050762813,-0.4212108671098651,-0.03519692560718808
1894-11-01,-0.2468256402800156,-0.4275471439516445,-0.06020773831320443
1894-12-01,-0.2270040171780058,-0.4072561214375158,-0.05294690023781498
1895-01-01,-0.2703288348370401,-0.45277825301627256,-0.09610689799406917
1895-02-01,-0.25339230078008773,-0.44525083495455753,-0.06720540967150203
1895-03-01,-0.22652841398539633,-0.41144202157868914,-0.034945235956814126
1895-04-01,-0.23998506081523516,-0.4228490665133591,-0.04815739666901334
1895-05-01,-0.23991313324852925,-0.439450670272671,-0.05048130979163313
1895-06-01,-0.2637850625854247,-0.4608845335260161,-0.06653685570930618
1895-07-01,-0.24386123288513156,-0.42339310101836564,-0.05516688571344959
1895-08-01,-0.2401752067118678,-0.43164902491652346,-0.06375625014839773
1895-09-01,-0.2243222844053799,-0.42190847927994757,-0.016229352899108096
1895-10-01,-0.23001024488861854,-0.4329996814186002,-0.05681173087429759
1895-11-01,-0.24437430941974528,-0.42872350543879145,-0.06089989124095011
1895-12-01,-0.23640437875587944,-0.42717301423535997,-0.04986486737359871
1896-01-01,-0.26554134474166735,-0.44411956046053863,-0.05798789368397791
1896-02-01,-0.2517875597573896,-0.442254116515851,-0.06050308124831706
1896-03-01,-0.22234589207558178,-0.4208536251868805,-0.046420670668178524
1896-04-01,-0.23700202465023376,-0.423908910502087,-0.06796493864623818
1896-05-01,-0.22961671899101432,-0.4028760521153668,-0.04291760518111126
1896-06-01,-0.2760334978648689,-0.4752398663273099,-0.08492548060698872
1896-07-01,-0.2498603389411569,-0.44241073434244865,-0.07084325862356268
1896-08-01,-0.24209955053983745,-0.43575439775272773,-0.050311332675689574
1896-09-01,-0.21630769931448024,-0.4046701200941515,-0.03883653299571349
1896-10-01,-0.23301853186290847,-0.43702761984535476,-0.04400441452865863
1896-11-01,-0.25596307819479736,-0.44792301729952616,-0.0729174191904559
1896-12-01,-0.212084477661053,-0.39479905730429266,-0.025258337977282313
1897-01-01,-0.283449733475359,-0.4628932593118273,-0.10440678407048258
1897-02-01,-0.2607892345214386,-0.4472912984297285,-0.07436857090712208
1897-03-01,-0.2249866569273005,-0.41300604293504434,-0.03420746108010173
1897-04-01,-0.23930231548591568,-0.4362684467568404,-0.055758413557202346
1897-05-01,-0.23446819629336912,-0.4210934763011897,-0.043483457743261573
1897-06-01,-0.27339060395769765,-0.4617614310827475,-0.0808324982087006
1897-07-01,-0.24915144923230748,-0.4415317828395776,-0.0694830505266418
1897-08-01,-0.24271720983873404,-0.43524315675167663,-0.048822952183966574
1897-09-01,-0.22029681140744534,-0.4049831347430728,-0.04543948321885686
1897-10-01,-0.23340442054979668,-0.4182711752053527,-0.03602096672686219
1897-11-01,-0.2533604179876125,-0.4344706407924062,-0.05617419240399451
1897-12-01,-0.22156608029742975,-0.41099954347014694,-0.036680006673966564
1898-01-01,-0.27897113379388444,-0.4738258155145034,-0.09391046981346224
1898-02-01,-0.2590656691781967,-0.4642485347755601,-0.0783441813959806
